id,date,property,type,assigned_cleaner
Angel-30112025,30/11/2025,Angel,Cleaning: Checkin Not Same Day,CleanerB
Angel-07122025,07/12/2025,Angel,Cleaning: Checkin Not Same Day,CleanerB
Angel-15122025,15/12/2025,Angel,Cleaning: Checkin Not Same Day,CleanerB
Angel-21122025,21/12/2025,Angel,Cleaning: Checkin Not Same Day,CleanerB
Angel-29122025,29/12/2025,Angel,Cleaning: Checkin Same Day,CleanerB
Angel-02012026,02/01/2026,Angel,Cleaning: Checkin Not Same Day,CleanerB
Angel-18052026,18/05/2026,Angel,Cleaning: Checkin Not Same Day,CleanerB
Angel-07062026,07/06/2026,Angel,Cleaning: Checkin Not Same Day,CleanerB
Angel-11072026,11/07/2026,Angel,Cleaning: Checkin Not Same Day,CleanerB
